Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend
GMRINFRA,EQ,2017-05-15,16.6,16.7,17.7,16.7,17.6,17.55,17.15,51996656,891657894.35,11922,29960644,57.62,5.722891566265056,Among top gainers
GMRINFRA,EQ,2017-05-16,17.55,17.6,17.7,17.05,17.35,17.4,17.38,18797177,326723844.0,10494,5716554,30.41,-0.8547008547008628,Slight negative
GMRINFRA,EQ,2017-05-17,17.4,17.4,17.7,17.25,17.25,17.3,17.4,14686157,255570151.25,8448,4250771,28.94,-0.5747126436781436,Slight negative
GMRINFRA,EQ,2017-05-18,17.3,17.15,17.25,16.65,16.75,16.75,16.94,17050095,288900438.15,9429,5476423,32.12,-3.1791907514450934,Among top losers
GMRINFRA,EQ,2017-05-19,16.75,16.85,17.35,16.6,17.0,16.95,16.96,22080313,374440580.75,9355,2110450,9.56,1.1940298507462588,Positive
GMRINFRA,EQ,2017-05-22,16.95,17.1,17.25,16.65,16.7,16.8,16.92,13103012,221739115.15,6187,1690943,12.9,-0.8849557522123797,Slight negative
GMRINFRA,EQ,2017-05-23,16.8,16.7,16.75,15.6,15.75,15.9,16.14,27678783,446774134.05,14512,7544503,27.26,-5.35714285714286,Among top losers
GMRINFRA,EQ,2017-05-24,15.9,15.9,16.0,14.25,14.6,14.55,15.01,34309492,515072625.05,22645,6123558,17.85,-8.490566037735848,Bull run
GMRINFRA,EQ,2017-05-25,14.55,14.7,15.4,14.45,15.25,15.2,15.08,29769387,448799076.75,18513,9617533,32.31,4.4673539518900185,Among top gainers
GMRINFRA,EQ,2017-05-26,15.2,15.3,16.05,15.15,15.95,15.95,15.7,17886317,280852804.6,10010,4255974,23.79,4.9342105263157965,Among top gainers
GMRINFRA,EQ,2017-05-29,15.95,16.0,16.15,14.7,14.8,14.8,15.14,19771246,299397689.2,16182,6085479,30.78,-7.210031347962376,Bull run
GMRINFRA,EQ,2017-05-30,14.8,14.45,15.15,14.2,14.9,15.0,14.71,22808916,335470548.4,17394,6882926,30.18,1.3513513513513375,Positive
GMRINFRA,EQ,2017-05-31,15.0,15.0,15.3,14.75,15.1,15.05,15.03,20483733,307813512.55,8847,7807318,38.11,0.33333333333334103,Slight or No change
GMRINFRA,EQ,2017-06-01,15.05,15.25,15.25,14.6,15.0,14.95,14.9,6267102,93359698.3,4781,1287570,20.54,-0.6644518272425293,Slight negative
GMRINFRA,EQ,2017-06-02,14.95,15.05,19.05,14.95,16.8,16.9,17.46,318000100,5552426068.1,147752,56772035,17.85,13.043478260869556,Bear drop
GMRINFRA,EQ,2017-06-05,16.9,17.05,17.65,16.15,16.75,16.7,16.89,119450359,2017744750.25,70576,33645464,28.17,-1.1834319526627168,Negative
GMRINFRA,EQ,2017-06-06,16.7,16.75,16.9,16.1,16.25,16.2,16.36,31427653,514214749.7,20116,5305236,16.88,-2.9940119760479056,Negative
GMRINFRA,EQ,2017-06-07,16.2,16.3,17.05,16.3,16.6,16.65,16.72,54402871,909653434.6,22307,19736751,36.28,2.777777777777768,Positive
GMRINFRA,EQ,2017-06-08,16.65,16.7,16.8,16.5,16.55,16.6,16.62,22362868,371577135.6,7480,11750715,52.55,-0.30030030030028243,Slight or No change
GMRINFRA,EQ,2017-06-09,16.6,16.7,17.1,16.2,16.95,17.0,16.75,23436220,392595301.0,11431,6523037,27.83,2.409638554216853,Positive
GMRINFRA,EQ,2017-06-12,17.0,16.95,18.2,16.75,17.8,17.75,17.75,87581719,1554752749.05,45834,24855221,28.38,4.4117647058823595,Among top gainers
GMRINFRA,EQ,2017-06-13,17.75,17.95,19.5,17.9,18.9,18.85,18.85,146441624,2759883004.4,64043,31048424,21.2,6.197183098591563,Among top gainers
GMRINFRA,EQ,2017-06-14,18.85,18.85,19.75,18.15,19.3,19.3,19.08,106021545,2023155124.55,47613,24966459,23.55,2.3872679045092715,Positive
GMRINFRA,EQ,2017-06-15,19.3,19.2,20.1,19.05,19.75,19.75,19.61,98657216,1934420498.55,48482,14930339,15.13,2.3316062176165664,Positive
GMRINFRA,EQ,2017-06-16,19.75,19.6,20.15,19.25,19.3,19.45,19.66,54266696,1066961331.8,27698,7333552,13.51,-1.51898734177216,Negative
GMRINFRA,EQ,2017-06-19,19.45,19.45,19.7,19.15,19.25,19.3,19.41,29545324,573547073.0,12926,4415210,14.94,-0.7712082262210762,Slight negative
GMRINFRA,EQ,2017-06-20,19.3,19.3,20.2,19.15,20.05,20.0,19.74,57331928,1131807044.1,30794,10339513,18.03,3.626943005181338,Among top gainers
GMRINFRA,EQ,2017-06-21,20.0,20.1,21.65,19.85,21.3,21.35,20.92,132714510,2776634790.8,62360,25681786,19.35,6.7500000000000115,Among top gainers
GMRINFRA,EQ,2017-06-22,21.35,21.4,22.05,20.4,20.75,20.8,21.41,78981450,1690971217.4,41215,17556700,22.23,-2.576112412177989,Negative
GMRINFRA,EQ,2017-06-23,20.8,20.65,21.75,20.35,21.5,21.35,21.16,68100893,1440970584.8,37119,12682368,18.62,2.644230769230771,Positive
GMRINFRA,EQ,2017-06-27,21.35,21.6,22.0,18.3,19.25,19.25,20.18,81835389,1651368865.35,38302,21581943,26.37,-9.836065573770503,Bull run
GMRINFRA,EQ,2017-06-28,19.25,19.2,20.45,18.8,19.45,19.3,19.64,64165663,1260525287.35,32237,13692990,21.34,0.25974025974027093,Slight or No change
GMRINFRA,EQ,2017-06-29,19.3,19.65,19.8,18.7,18.9,19.0,19.12,119030605,2275961224.75,35004,40666595,34.16,-1.5544041450777257,Negative
GMRINFRA,EQ,2017-06-30,19.0,19.15,20.1,19.0,19.85,19.65,19.65,66433073,1305469265.9,30013,19287680,29.03,3.421052631578947,Among top gainers
GMRINFRA,EQ,2017-07-03,19.65,19.85,20.25,19.5,19.6,19.6,19.82,32453078,643088166.05,14848,10255472,31.6,-0.254452926208637,Slight or No change
GMRINFRA,EQ,2017-07-04,19.6,19.0,19.75,18.3,18.5,18.55,18.82,58574540,1102523637.7,26352,19962080,34.08,-5.35714285714286,Among top losers
GMRINFRA,EQ,2017-07-05,18.55,18.65,19.15,18.45,18.95,18.9,18.77,50223748,942558992.75,24281,15301449,30.47,1.886792452830166,Positive
GMRINFRA,EQ,2017-07-06,18.9,19.2,19.35,18.65,19.0,19.0,19.03,33223410,632230736.8,15080,5223497,15.72,0.5291005291005346,Slight positive
GMRINFRA,EQ,2017-07-07,19.0,19.0,19.5,18.5,19.2,19.3,19.02,40301587,766407162.4,17143,9174946,22.77,1.5789473684210575,Positive
GMRINFRA,EQ,2017-07-10,19.3,19.3,21.2,18.85,18.95,19.0,19.06,10518942,200520564.1,5461,3539118,33.65,-1.5544041450777257,Negative
GMRINFRA,EQ,2017-07-11,19.0,19.2,19.3,18.3,18.35,18.45,18.77,26038665,488644020.15,17792,8360277,32.11,-2.894736842105272,Negative
GMRINFRA,EQ,2017-07-12,18.45,18.5,18.85,17.65,18.05,18.05,18.12,79963225,1448840026.5,25527,37886323,47.38,-2.1680216802167918,Negative
GMRINFRA,EQ,2017-07-13,18.05,18.2,18.35,17.8,17.95,17.95,18.02,32054650,577487264.55,13713,6986066,21.79,-0.5540166204986208,Slight negative
GMRINFRA,EQ,2017-07-14,17.95,18.1,18.65,17.8,18.15,18.0,18.07,75911494,1371595805.3,17582,32014990,42.17,0.278551532033422,Slight or No change
GMRINFRA,EQ,2017-07-17,18.0,18.35,18.55,17.95,18.0,18.05,18.16,28179488,511856154.55,13852,9199358,32.65,0.2777777777777768,Slight or No change
GMRINFRA,EQ,2017-07-18,18.05,17.95,18.2,17.6,17.65,17.7,17.88,16685431,298378064.55,10732,4734092,28.37,-1.939058171745156,Negative
GMRINFRA,EQ,2017-07-19,17.7,17.8,18.2,17.75,18.1,18.1,18.04,20267425,365641324.9,15674,5809255,28.66,2.259887005649719,Positive
GMRINFRA,EQ,2017-07-20,18.1,18.2,18.2,17.75,17.85,17.8,17.93,13284154,238214717.25,10102,4909485,36.96,-1.6574585635359185,Negative
GMRINFRA,EQ,2017-07-21,17.8,17.4,18.15,17.2,18.0,18.0,17.72,51757767,917249150.85,34801,14118884,27.28,1.1235955056179803,Positive
GMRINFRA,EQ,2017-07-24,18.0,18.25,19.25,18.15,18.7,18.65,18.88,89231715,1684342075.05,36181,27245237,30.53,3.6111111111110983,Among top gainers
GMRINFRA,EQ,2017-07-25,18.65,18.85,18.95,18.25,18.75,18.8,18.66,40548306,756539928.1,16775,10815732,26.67,0.8042895442359255,Slight positive
GMRINFRA,EQ,2017-07-26,18.8,18.8,19.45,18.75,19.15,19.15,19.14,50394927,964675127.7,18509,17821767,35.36,1.8617021276595702,Positive
GMRINFRA,EQ,2017-07-27,19.15,19.4,19.7,18.95,19.35,19.3,19.31,64432555,1244279341.15,22135,24349688,37.79,0.783289817232391,Slight positive
GMRINFRA,EQ,2017-07-28,19.3,19.25,19.75,18.7,18.95,18.9,19.15,65564234,1255641404.1,23372,24016900,36.63,-2.0725388601036343,Negative
GMRINFRA,EQ,2017-07-31,18.9,19.1,19.15,18.5,18.75,18.8,18.84,20709764,390140648.5,9514,6482361,31.3,-0.5291005291005124,Slight negative
GMRINFRA,EQ,2017-08-01,18.8,18.95,19.05,18.6,18.7,18.7,18.85,20289231,382407622.5,6793,7035964,34.68,-0.5319148936170248,Slight negative
GMRINFRA,EQ,2017-08-02,18.7,18.85,18.95,18.2,18.45,18.5,18.53,23115311,428434256.9,9049,4495663,19.45,-1.0695187165775333,Negative
GMRINFRA,EQ,2017-08-03,18.5,18.55,18.55,17.75,17.95,17.9,18.21,28780056,524036929.95,10683,5435833,18.89,-3.2432432432432545,Among top losers
GMRINFRA,EQ,2017-08-04,17.9,17.95,18.05,17.55,17.65,17.65,17.77,24423845,433938581.45,21710,4827338,19.76,-1.3966480446927387,Negative
GMRINFRA,EQ,2017-08-07,17.65,17.85,18.75,17.75,18.55,18.55,18.32,25559596,468354500.2,34370,5455032,21.34,5.099150141643083,Among top gainers
GMRINFRA,EQ,2017-08-08,18.55,18.7,18.7,17.55,17.65,17.7,17.95,25226585,452862168.65,32801,4494587,17.82,-4.582210242587603,Among top losers
GMRINFRA,EQ,2017-08-09,17.7,17.55,17.6,16.65,16.8,16.95,17.15,30393631,521105363.15,20132,4463530,14.69,-4.23728813559322,Among top losers
GMRINFRA,EQ,2017-08-10,16.95,16.9,17.2,15.6,16.15,15.9,16.5,35718794,589215527.3,17236,8461354,23.69,-6.194690265486724,Among top losers
GMRINFRA,EQ,2017-08-11,15.9,15.5,16.2,15.1,15.6,15.5,15.59,33704072,525508085.5,21331,6492600,19.26,-2.515723270440251,Negative
GMRINFRA,EQ,2017-08-14,15.5,15.7,16.45,15.7,16.0,16.05,16.03,23289620,373248634.25,12028,4176593,17.93,3.548387096774208,Among top gainers
GMRINFRA,EQ,2017-08-16,16.05,16.3,16.7,16.05,16.6,16.5,16.3,22701775,370001554.95,11721,5692162,25.07,2.8037383177569986,Positive
GMRINFRA,EQ,2017-08-17,16.5,16.85,19.15,16.4,18.65,18.55,18.26,151869401,2773235771.8,81173,19484381,12.83,12.424242424242426,Bear drop
GMRINFRA,EQ,2017-08-18,18.55,18.35,18.8,17.95,18.15,18.25,18.34,50471064,925749658.05,26351,7449876,14.76,-1.6172506738544534,Negative
GMRINFRA,EQ,2017-08-21,18.25,18.25,18.45,17.35,17.5,17.5,17.89,25971372,464756724.85,15848,4398742,16.94,-4.109589041095896,Among top losers
GMRINFRA,EQ,2017-08-22,17.5,17.75,17.9,16.9,17.0,17.0,17.27,33758942,582971597.75,26383,3443739,10.2,-2.857142857142858,Negative
GMRINFRA,EQ,2017-08-23,17.0,17.3,17.4,17.0,17.1,17.2,17.21,19674455,338649384.2,10466,4171604,21.2,1.17647058823529,Positive
GMRINFRA,EQ,2017-08-24,17.2,17.3,17.65,17.1,17.2,17.25,17.26,18655881,322001818.6,8701,5700778,30.56,0.29069767441860517,Slight or No change
GMRINFRA,EQ,2017-08-28,17.25,17.25,17.9,17.2,17.35,17.45,17.63,32962980,581147742.0,12805,12010289,36.44,1.1594202898550732,Positive
GMRINFRA,EQ,2017-08-29,17.45,17.3,17.4,16.75,16.8,16.85,17.06,19985526,340968861.3,13921,6075070,30.4,-3.4383954154727725,Among top losers
GMRINFRA,EQ,2017-08-30,16.85,17.0,17.4,16.8,17.2,17.2,17.17,23081553,396233136.4,10676,4202019,18.21,2.0771513353115667,Positive
GMRINFRA,EQ,2017-08-31,17.2,17.25,17.45,17.05,17.15,17.2,17.2,23992936,412613498.35,6131,8987762,37.46,0.0,Slight or No change
GMRINFRA,EQ,2017-09-01,17.2,17.25,17.8,17.15,17.75,17.7,17.52,39925740,699315602.75,12575,11168756,27.97,2.9069767441860517,Positive
GMRINFRA,EQ,2017-09-04,17.7,17.7,17.7,16.8,17.2,17.2,17.18,33442149,574454257.25,12642,7093561,21.21,-2.824858757062143,Negative
GMRINFRA,EQ,2017-09-05,17.2,17.5,17.75,17.05,17.05,17.1,17.33,37224291,645273004.95,12567,5642778,15.16,-0.5813953488371992,Slight negative
GMRINFRA,EQ,2017-09-06,17.1,17.0,17.3,16.85,17.15,17.2,17.19,18512579,318186748.95,6934,4464562,24.12,0.5847953216374213,Slight positive
GMRINFRA,EQ,2017-09-07,17.2,17.7,17.85,17.4,17.45,17.5,17.59,32065858,563883993.7,15937,6500188,20.27,1.744186046511631,Positive
GMRINFRA,EQ,2017-09-08,17.5,17.5,17.65,17.05,17.2,17.25,17.33,17216598,298363109.2,12258,2983863,17.33,-1.4285714285714235,Negative
GMRINFRA,EQ,2017-09-11,17.25,17.4,17.65,17.15,17.3,17.3,17.44,14057115,245202378.75,6844,2634580,18.74,0.28985507246377384,Slight or No change
GMRINFRA,EQ,2017-09-12,17.3,17.45,17.6,17.25,17.35,17.35,17.43,19108231,333077726.3,9278,3858966,20.2,0.28901734104047616,Slight or No change
GMRINFRA,EQ,2017-09-13,17.35,17.5,18.55,17.35,17.85,17.9,17.98,58122179,1045103788.7,22538,10009876,17.22,3.170028818443793,Among top gainers
GMRINFRA,EQ,2017-09-14,17.9,17.95,18.45,17.9,18.05,18.0,18.12,36372371,658963659.45,14845,5598513,15.39,0.5586592178770999,Slight positive
GMRINFRA,EQ,2017-09-15,18.0,17.9,18.25,17.7,17.9,17.9,17.94,22152964,397530631.05,10594,4174326,18.84,-0.5555555555555647,Slight negative
